深度,平均cost,理论期望cost,实际标准差,理论在95%CI内
0,2.02,1.9,1.6816298010795323,True
1,7.48,8.1,10.917949265389364,True
2,33.43455844122716,26.803553390593272,62.25717247985118,True
3,99.11878606204614,82.99367287367204,201.0381212365847,True
4,249.17546970831228,251.63101862101612,515.4713530310202,True
5,745.8614858836569,757.6020728574233,1594.0409317794831,True
6,1469.5914796169973,2275.5685910079656,3249.9113448431335,False
7,6451.27302057392,6829.517210851663,16633.91218997098,True
8,12202.860101836417,20491.408739336173,32476.284045442146,False
9,72900.93660475804,61477.12621800852,192700.73220585872,True
