深度,平均cost,理论期望cost,实际标准差,理论期望在95%CI内,卡方检验通过
0,2.07,1.9,1.7823772571677092,True,True
1,5.15,7.15,7.741238122985734,False,True
2,25.248700576850883,23.003553390593275,48.671570566656804,True,False
3,56.17593605999293,70.64367287367205,152.04665901229677,True,False
4,239.93988679772485,213.63101862101612,538.6115666141318,True,False
5,730.2826200826671,642.6520728574233,1905.1997445803584,True,False
6,1920.0977565412272,1929.7685910079658,4382.447897453829,True,False
7,7985.806173996753,5791.167210851663,18239.00198357651,True,False
8,13131.781738986338,17375.408739336177,53660.67930471358,True,False
9,69527.9689427054,52128.17621800854,168077.5282824451,True,False
