method,step,sumA,maxAbsCoef
"Arithmetic (start=1,step=1)",1,2,1.0
"Arithmetic (start=1,step=1)",2,6,1.0
"Arithmetic (start=1,step=1)",3,12,1.0
"Arithmetic (start=1,step=1)",4,20,2.0
"Arithmetic (start=1,step=1)",5,30,1.0
"Arithmetic (start=1,step=1)",6,42,2.0
"Arithmetic (start=1,step=1)",7,56,2.0
"Arithmetic (start=1,step=1)",8,72,2.0
"Arithmetic (start=1,step=1)",9,90,2.0
"Arithmetic (start=1,step=1)",10,110,3.0
"Arithmetic (start=1,step=1)",11,132,2.0
"Arithmetic (start=1,step=1)",12,156,4.0
"Arithmetic (start=1,step=1)",13,182,3.0
"Arithmetic (start=1,step=1)",14,210,3.0
"Arithmetic (start=1,step=1)",15,240,4.0
"Arithmetic (start=1,step=1)",16,272,6.0
"Arithmetic (start=1,step=1)",17,306,5.0
"Arithmetic (start=1,step=1)",18,342,6.0
"Arithmetic (start=1,step=1)",19,380,7.0
"Arithmetic (start=1,step=1)",20,420,8.0
"Arithmetic (start=1,step=1)",21,462,8.0
"Arithmetic (start=1,step=1)",22,506,10.0
"Arithmetic (start=1,step=1)",23,552,11.0
"Arithmetic (start=1,step=1)",24,600,16.0
"Arithmetic (start=1,step=1)",25,650,16.0
"Arithmetic (start=1,step=1)",26,702,19.0
"Arithmetic (start=1,step=1)",27,756,21.0
"Arithmetic (start=1,step=1)",28,812,28.0
"Arithmetic (start=1,step=1)",29,870,29.0
"Arithmetic (start=1,step=1)",30,930,34.0
"Arithmetic (start=1,step=1)",31,992,41.0
"Arithmetic (start=1,step=1)",32,1056,50.0
"Arithmetic (start=1,step=1)",33,1122,56.0
"Arithmetic (start=1,step=1)",34,1190,68.0
"Arithmetic (start=1,step=1)",35,1260,80.0
"Arithmetic (start=1,step=1)",36,1332,100.0
"Arithmetic (start=1,step=1)",37,1406,114.0
"Arithmetic (start=1,step=1)",38,1482,135.0
"Arithmetic (start=1,step=1)",39,1560,158.0
"Arithmetic (start=1,step=1)",40,1640,196.0
"Arithmetic (start=1,step=1)",41,1722,225.0
"Arithmetic (start=1,step=1)",42,1806,269.0
"Arithmetic (start=1,step=1)",43,1892,320.0
"Arithmetic (start=1,step=1)",44,1980,388.0
"Arithmetic (start=1,step=1)",45,2070,455.0
"Arithmetic (start=1,step=1)",46,2162,544.0
"Arithmetic (start=1,step=1)",47,2256,644.0
"Arithmetic (start=1,step=1)",48,2352,786.0
"Arithmetic (start=1,step=1)",49,2450,921.0
